City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Waipawa,NZ,2022-02-03 04:36:39,-41.4122,175.5153,70.43,59,98,9.55
149,Vanavara,RU,2022-02-03 04:36:39,60.34,102.2797,6.4,91,100,4.36
150,Atmakur,IN,2022-02-03 04:36:40,15.8833,78.5833,82.85,39,4,5.41
151,Guisguis,PH,2022-02-03 04:36:40,13.8714,121.5192,77.05,85,79,12.73
152,Anshun,CN,2022-02-03 04:36:41,26.25,105.9333,36.1,84,98,2.77
153,Norwich,GB,2022-02-03 04:36:41,52.6278,1.2983,47.21,89,100,9.22
154,Pisco,PE,2022-02-03 04:36:42,-13.7,-76.2167,66.25,88,0,12.66
155,San Juan,AR,2022-02-03 04:33:32,-31.5375,-68.5364,80.01,41,97,5.57
156,Vanimo,PG,2022-02-03 04:36:43,-2.6741,141.3028,82.69,73,76,5.77
157,Sao Filipe,CV,2022-02-03 04:36:43,14.8961,-24.4956,72.79,77,0,11.23
158,Magole,TZ,2022-02-03 04:36:44,-6.3667,37.3667,71.53,94,100,0.29
159,Tuatapere,NZ,2022-02-03 04:36:44,-46.1333,167.6833,57.81,63,100,9.35
160,Klaksvik,FO,2022-02-03 04:36:45,62.2266,-6.589,36.52,99,100,16.28
161,Severo-Kurilsk,RU,2022-02-03 04:36:45,50.6789,156.125,30.61,77,100,10.63
162,Tautira,PF,2022-02-03 04:36:46,-17.7333,-149.15,84.22,80,32,23.11
163,Tasiilaq,GL,2022-02-03 04:36:46,65.6145,-37.6368,14.16,71,92,8.3
164,Santander,ES,2022-02-03 04:36:47,43.4647,-3.8044,51.46,70,0,5.01
165,Thompson,CA,2022-02-03 04:36:47,55.7435,-97.8558,-14.64,70,0,11.5
166,Roma,US,2022-02-03 04:36:43,43.2128,-75.4557,42.66,80,100,0.0
167,Port Alfred,ZA,2022-02-03 04:36:48,-33.5906,26.891,72.97,90,91,12.44
168,Dongsheng,CN,2022-02-03 04:36:48,39.8161,109.9776,17.55,25,80,8.61
169,Kavieng,PG,2022-02-03 04:36:49,-2.5744,150.7967,80.65,75,100,14.56
170,Campos Belos,BR,2022-02-03 04:36:49,-13.0367,-46.7717,68.43,90,29,1.28
