City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Corrente,BR,-3.7367,-43.3394,70.95,99,100,2.33,moderate rain
270,Laguna,US,38.421,-121.4238,52.77,79,0,0.0,clear sky
271,Vallenar,CL,-28.5708,-70.7581,66.0,60,0,1.14,clear sky
272,Savonlinna,FI,61.8699,28.88,20.25,86,100,18.41,light snow
273,Kalispell,US,48.1958,-114.3129,36.32,80,100,18.99,overcast clouds
274,Male,MV,4.1748,73.5089,82.76,65,84,10.07,broken clouds
275,Bethel,US,41.3712,-73.414,26.47,83,75,9.22,broken clouds
276,Grand-Lahou,CI,5.1367,-5.0242,77.59,86,47,1.34,scattered clouds
277,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.59,91,96,13.13,overcast clouds
278,Natal,BR,-5.795,-35.2094,74.05,94,20,3.44,few clouds
279,San Rafael,AR,-34.6177,-68.3301,60.73,76,95,18.19,overcast clouds
280,Arroyo,ES,41.6096,-4.7969,45.19,84,0,6.91,clear sky
281,Mount Gambier,AU,-37.8333,140.7667,71.98,53,66,14.88,broken clouds
282,Poum,NC,-20.2333,164.0167,81.34,72,94,10.69,overcast clouds
283,Bathsheba,BB,13.2167,-59.5167,72.21,73,40,9.22,scattered clouds
284,Kondinskoye,RU,59.6481,67.41,23.7,94,100,6.96,light snow
285,Mizdah,LY,31.4451,12.9801,47.68,34,6,8.21,clear sky
286,Kozulka,UA,50.0351,23.797,37.69,89,100,12.86,overcast clouds
287,Shenjiamen,CN,29.9576,122.298,42.67,64,8,18.57,clear sky
288,Bafoulabe,ML,13.8065,-10.8321,70.48,15,0,4.12,clear sky
289,Jiwani,PK,25.05,61.7417,73.72,56,0,11.5,clear sky
290,Luanda,AO,-8.8368,13.2343,77.0,78,20,6.91,few clouds
291,Ashington,GB,50.9331,-0.3909,39.61,85,81,5.01,broken clouds
292,Nome,US,64.5011,-165.4064,-3.93,71,0,0.0,clear sky
293,Chokurdakh,RU,70.6333,147.9167,-31.77,100,57,2.06,broken clouds
294,Corinto,GR,37.9407,22.9573,52.54,76,54,3.76,broken clouds
295,Talnakh,RU,69.4865,88.3972,1.2,94,95,3.18,overcast clouds
296,Rawson,AR,-43.3002,-65.1023,57.22,60,80,15.5,broken clouds
297,Lavrentiya,RU,65.5833,-171.0,-10.77,91,4,8.16,clear sky
298,Dwarka,IN,22.2394,68.9678,73.67,51,0,9.82,clear sky
299,Jibuti,DJ,11.5,42.5,81.82,24,5,1.43,clear sky
300,Dicabisagan,PH,17.0818,122.4157,74.88,81,99,11.41,overcast clouds
301,Uyemskiy,RU,64.4743,40.8524,1.06,84,40,6.71,scattered clouds
302,Mwaro,BI,-3.5,29.6667,60.64,85,100,3.2,light rain
303,Roald,NO,62.5833,6.1333,39.0,80,75,25.32,broken clouds
304,Hasaki,JP,35.7333,140.8333,45.28,30,99,15.14,overcast clouds
305,Ayan,RU,56.45,138.1667,-0.89,69,100,14.9,overcast clouds
306,Katsuura,JP,35.1333,140.3,46.18,40,55,4.52,broken clouds
307,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,87,0,5.75,clear sky
308,Thanyaburi,TH,14.0211,100.7343,95.0,51,20,10.36,few clouds
309,Middle Island,US,40.8843,-72.9373,28.42,86,100,7.0,overcast clouds
310,Dodge City,US,37.7528,-100.0171,26.26,64,0,10.0,clear sky
311,Singaparna,ID,-7.3515,108.111,81.16,76,98,1.83,moderate rain
312,Samarai,PG,-10.6167,150.6667,84.54,73,100,11.25,overcast clouds
313,Ucluelet,CA,48.9329,-125.5528,46.09,91,29,5.01,scattered clouds
314,Anuradhapura,LK,8.3565,80.4173,90.77,36,39,4.38,scattered clouds
315,Winslow,US,35.0242,-110.6974,17.78,32,0,3.44,clear sky
316,Fallon,US,39.4735,-118.7774,24.67,68,75,5.75,broken clouds
317,Lagoa,PT,39.05,-27.9833,58.35,76,35,19.71,scattered clouds
318,Namibe,AO,-15.1961,12.1522,73.76,56,78,3.27,broken clouds
319,Grand Gaube,MU,-20.0064,57.6608,84.6,79,100,15.99,overcast clouds
320,Estelle,US,29.8458,-90.1067,36.0,79,100,10.36,overcast clouds
321,Clyde River,CA,70.4692,-68.5914,-21.77,76,100,6.91,overcast clouds
322,Ancud,CL,-41.8697,-73.8203,51.22,91,5,1.95,clear sky
323,Ocampo,MX,21.65,-101.5,40.39,93,0,8.63,clear sky
324,Cairns,AU,-16.9167,145.7667,82.06,81,75,14.97,broken clouds
325,Iskateley,RU,67.6803,53.1512,-12.26,100,99,7.05,overcast clouds
326,Kikwit,CD,-5.041,18.8162,73.4,79,100,2.19,overcast clouds
327,Omsukchan,RU,62.5333,155.8,-17.39,76,5,9.73,clear sky
328,Launceston,AU,-41.45,147.1667,72.61,54,100,5.99,overcast clouds
329,Shingu,JP,33.7333,135.9833,41.99,49,6,14.83,clear sky
330,Khani,GE,41.9563,42.9566,26.17,91,93,6.31,light snow
331,Challans,FR,46.8436,-1.8749,39.11,88,10,3.85,clear sky
332,Ilulissat,GL,69.2167,-51.1,8.62,72,75,12.66,mist
333,Nedryhayliv,UA,50.834,33.8763,16.63,92,69,4.36,broken clouds
334,Dingle,PH,10.9995,122.6711,81.12,75,68,17.13,broken clouds
335,Moose Factory,CA,51.2585,-80.6094,-20.2,69,0,3.44,clear sky
336,Pangody,RU,65.85,74.4859,0.84,99,86,6.85,overcast clouds
337,Artigas,UY,-30.4,-56.4667,73.74,75,100,7.99,overcast clouds
338,Biu,NG,10.6129,12.1946,60.35,38,0,11.32,clear sky
339,Chippenham,GB,51.46,-2.1247,42.03,90,97,8.3,overcast clouds
340,Olinda,BR,-8.0089,-34.8553,80.33,69,40,5.75,scattered clouds
341,Ribeira Grande,PT,38.5167,-28.7,57.6,82,40,11.5,scattered clouds
342,Bafoussam,CM,5.4737,10.4179,65.86,36,10,1.07,clear sky
343,Tabou,CI,4.423,-7.3528,77.0,87,100,0.54,light rain
344,Samana,DO,19.2056,-69.3369,70.72,83,19,6.58,few clouds
345,Doha,QA,25.2867,51.5333,76.98,29,0,6.91,clear sky
346,Sitka,US,57.0531,-135.33,42.69,81,100,6.91,light rain
347,Codrington,AU,-38.2667,141.9667,67.82,63,100,22.82,overcast clouds
